dataset_name,lab_subject_id,lwl_age,cdi_age,cdi_age_diff,n_produces
adams_marchman_2018,11003,17,21,4,236
adams_marchman_2018,11003,17,21,4,236
adams_marchman_2018,11003,19,21,2,236
adams_marchman_2018,11003,19,21,2,236
adams_marchman_2018,11009,16,22,6,359
adams_marchman_2018,11009,16,22,6,359
adams_marchman_2018,11009,18,22,4,359
adams_marchman_2018,11009,18,22,4,359
adams_marchman_2018,11011,15,21,6,94
adams_marchman_2018,11011,16,21,5,94
adams_marchman_2018,11011,18,21,3,94
adams_marchman_2018,11011,18,21,3,94
adams_marchman_2018,11014,15,21,6,236
adams_marchman_2018,11014,15,21,6,236
adams_marchman_2018,11014,17,21,4,236
adams_marchman_2018,11014,17,21,4,236
adams_marchman_2018,11035,15,23,8,333
adams_marchman_2018,11035,16,23,7,333
adams_marchman_2018,11035,19,23,4,333
adams_marchman_2018,11035,19,23,4,333
adams_marchman_2018,11036,16,21,5,447
adams_marchman_2018,11036,16,21,5,447
adams_marchman_2018,11036,18,21,3,447
adams_marchman_2018,11036,19,21,2,447
adams_marchman_2018,11037,15,21,6,381
adams_marchman_2018,11037,15,21,6,381
adams_marchman_2018,11037,18,21,3,381
adams_marchman_2018,11037,18,21,3,381
adams_marchman_2018,11070,15,22,7,264
adams_marchman_2018,11070,16,22,6,264
adams_marchman_2018,11070,19,22,3,264
adams_marchman_2018,11070,19,22,3,264
adams_marchman_2018,11136,17,24,7,165
adams_marchman_2018,11136,17,24,7,165
adams_marchman_2018,11136,19,24,5,165
adams_marchman_2018,11136,19,24,5,165
adams_marchman_2018,11141,16,24,8,259
adams_marchman_2018,11141,16,24,8,259
adams_marchman_2018,11141,18,24,6,259
adams_marchman_2018,11141,18,24,6,259
adams_marchman_2018,11200,15,22,7,286
adams_marchman_2018,11200,16,22,6,286
adams_marchman_2018,11200,17,22,5,286
adams_marchman_2018,11200,18,22,4,286
adams_marchman_2018,11327,15,21,6,95
adams_marchman_2018,11327,16,21,5,95
adams_marchman_2018,11327,18,21,3,95
adams_marchman_2018,11327,18,21,3,95
adams_marchman_2018,11417,16,21,5,59
adams_marchman_2018,11417,16,21,5,59
adams_marchman_2018,11417,18,21,3,59
adams_marchman_2018,11417,18,21,3,59
adams_marchman_2018,11611,16,22,6,44
adams_marchman_2018,11611,16,22,6,44
adams_marchman_2018,11611,18,22,4,44
adams_marchman_2018,11611,19,22,3,44
adams_marchman_2018,11655,16,21,5,249
adams_marchman_2018,11655,16,21,5,249
adams_marchman_2018,11655,18,21,3,249
adams_marchman_2018,11655,19,21,2,249
adams_marchman_2018,11743,16,22,6,43
adams_marchman_2018,11743,16,22,6,43
adams_marchman_2018,11743,18,22,4,43
adams_marchman_2018,11743,18,22,4,43
adams_marchman_2018,12095,16,23,7,210
adams_marchman_2018,12095,16,23,7,210
adams_marchman_2018,12095,19,23,4,210
adams_marchman_2018,12095,19,23,4,210
adams_marchman_2018,12297,16,22,6,289
adams_marchman_2018,12297,16,22,6,289
adams_marchman_2018,12297,18,22,4,289
adams_marchman_2018,12297,18,22,4,289
adams_marchman_2018,12316,15,23,8,414
adams_marchman_2018,12316,15,23,8,414
adams_marchman_2018,12316,18,23,5,414
adams_marchman_2018,12316,18,23,5,414
adams_marchman_2018,12390,16,23,7,37
adams_marchman_2018,12390,16,23,7,37
adams_marchman_2018,12390,18,23,5,37
adams_marchman_2018,12390,18,23,5,37
adams_marchman_2018,12398,16,21,5,317
adams_marchman_2018,12398,16,21,5,317
adams_marchman_2018,12398,18,21,3,317
adams_marchman_2018,12398,18,21,3,317
adams_marchman_2018,12409,16,21,5,386
adams_marchman_2018,12409,16,21,5,386
adams_marchman_2018,12409,18,21,3,386
adams_marchman_2018,12409,18,21,3,386
adams_marchman_2018,12417,17,22,5,26
adams_marchman_2018,12417,17,22,5,26
adams_marchman_2018,12417,19,22,3,26
adams_marchman_2018,12417,19,22,3,26
adams_marchman_2018,12520,17,22,5,129
adams_marchman_2018,12520,17,22,5,129
adams_marchman_2018,12520,20,22,2,129
adams_marchman_2018,12520,20,22,2,129
adams_marchman_2018,12547,15,21,6,300
adams_marchman_2018,12547,15,21,6,300
adams_marchman_2018,12547,18,21,3,300
adams_marchman_2018,12547,18,21,3,300
adams_marchman_2018,12608,15,21,6,445
adams_marchman_2018,12608,15,21,6,445
adams_marchman_2018,12608,18,21,3,445
adams_marchman_2018,12608,18,21,3,445
adams_marchman_2018,12612,16,23,7,368
adams_marchman_2018,12612,16,23,7,368
adams_marchman_2018,12612,18,23,5,368
adams_marchman_2018,12612,19,23,4,368
adams_marchman_2018,12683,17,21,4,435
adams_marchman_2018,12683,17,21,4,435
adams_marchman_2018,12683,20,21,1,435
adams_marchman_2018,12683,20,21,1,435
adams_marchman_2018,12717,16,22,6,134
adams_marchman_2018,12717,16,22,6,134
adams_marchman_2018,12717,18,22,4,134
adams_marchman_2018,12717,18,22,4,134
adams_marchman_2018,12724,17,22,5,144
adams_marchman_2018,12724,18,22,4,144
adams_marchman_2018,12724,19,22,3,144
adams_marchman_2018,12724,19,22,3,144
adams_marchman_2018,12737,16,22,6,478
adams_marchman_2018,12737,16,22,6,478
adams_marchman_2018,12737,18,22,4,478
adams_marchman_2018,12737,18,22,4,478
adams_marchman_2018,12828,16,22,6,204
adams_marchman_2018,12828,16,22,6,204
adams_marchman_2018,12828,18,22,4,204
adams_marchman_2018,12828,19,22,3,204
adams_marchman_2018,12830,16,23,7,64
adams_marchman_2018,12830,17,23,6,64
adams_marchman_2018,12830,18,23,5,64
adams_marchman_2018,12830,18,23,5,64
adams_marchman_2018,12840,17,23,6,119
adams_marchman_2018,12840,17,23,6,119
adams_marchman_2018,12840,18,23,5,119
adams_marchman_2018,12840,18,23,5,119
adams_marchman_2018,12878,16,21,5,429
adams_marchman_2018,12878,16,21,5,429
adams_marchman_2018,12878,18,21,3,429
adams_marchman_2018,12878,18,21,3,429
adams_marchman_2018,12959,17,23,6,531
adams_marchman_2018,12959,17,23,6,531
adams_marchman_2018,12959,19,23,4,531
adams_marchman_2018,12959,19,23,4,531
adams_marchman_2018,12971,15,21,6,373
adams_marchman_2018,12971,16,21,5,373
adams_marchman_2018,12971,18,21,3,373
adams_marchman_2018,12971,18,21,3,373
adams_marchman_2018,12973,13,20,7,2
adams_marchman_2018,12973,13,20,7,2
adams_marchman_2018,12973,19,20,1,2
adams_marchman_2018,13044,15,21,6,302
adams_marchman_2018,13044,16,21,5,302
adams_marchman_2018,13044,18,21,3,302
adams_marchman_2018,13044,18,21,3,302
adams_marchman_2018,13061,16,20,4,22
adams_marchman_2018,13061,16,20,4,22
adams_marchman_2018,13061,19,20,1,22
adams_marchman_2018,13061,19,20,1,22
adams_marchman_2018,13069,15,22,7,164
adams_marchman_2018,13069,16,22,6,164
adams_marchman_2018,13069,18,22,4,164
adams_marchman_2018,13069,19,22,3,164
adams_marchman_2018,13073,15,21,6,88
adams_marchman_2018,13073,16,21,5,88
adams_marchman_2018,13073,18,21,3,88
adams_marchman_2018,13073,18,21,3,88
adams_marchman_2018,13081,16,23,7,561
adams_marchman_2018,13081,16,23,7,561
adams_marchman_2018,13081,19,23,4,561
adams_marchman_2018,13081,19,23,4,561
adams_marchman_2018,13094,17,22,5,90
adams_marchman_2018,13094,17,22,5,90
adams_marchman_2018,13094,18,22,4,90
adams_marchman_2018,13094,19,22,3,90
adams_marchman_2018,13096,16,21,5,19
adams_marchman_2018,13096,16,21,5,19
adams_marchman_2018,13096,18,21,3,19
adams_marchman_2018,13096,18,21,3,19
adams_marchman_2018,13128,16,21,5,151
adams_marchman_2018,13128,16,21,5,151
adams_marchman_2018,13128,18,21,3,151
adams_marchman_2018,13128,19,21,2,151
adams_marchman_2018,13131,15,20,5,52
adams_marchman_2018,13131,15,20,5,52
adams_marchman_2018,13131,19,20,1,52
adams_marchman_2018,13131,19,20,1,52
adams_marchman_2018,13142,15,21,6,247
adams_marchman_2018,13142,15,21,6,247
adams_marchman_2018,13142,18,21,3,247
adams_marchman_2018,13142,18,21,3,247
adams_marchman_2018,13151,17,21,4,326
adams_marchman_2018,13151,17,21,4,326
adams_marchman_2018,13151,18,21,3,326
adams_marchman_2018,13151,18,21,3,326
adams_marchman_2018,13191,16,21,5,44
adams_marchman_2018,13191,16,21,5,44
adams_marchman_2018,13191,18,21,3,44
adams_marchman_2018,13191,18,21,3,44
adams_marchman_2018,13293,15,23,8,429
adams_marchman_2018,13293,15,23,8,429
adams_marchman_2018,13293,19,23,4,429
adams_marchman_2018,13293,19,23,4,429
adams_marchman_2018,13304,17,23,6,92
adams_marchman_2018,13304,17,23,6,92
adams_marchman_2018,13304,18,23,5,92
adams_marchman_2018,13304,18,23,5,92
adams_marchman_2018,13326,16,21,5,46
adams_marchman_2018,13326,16,21,5,46
adams_marchman_2018,13326,18,21,3,46
adams_marchman_2018,13326,18,21,3,46
adams_marchman_2018,13332,15,21,6,184
adams_marchman_2018,13332,15,21,6,184
adams_marchman_2018,13332,18,21,3,184
adams_marchman_2018,13332,18,21,3,184
adams_marchman_2018,13346,15,22,7,132
adams_marchman_2018,13346,16,22,6,132
adams_marchman_2018,13346,19,22,3,132
adams_marchman_2018,13346,19,22,3,132
adams_marchman_2018,13503,15,21,6,431
adams_marchman_2018,13503,16,21,5,431
adams_marchman_2018,13503,18,21,3,431
adams_marchman_2018,13503,18,21,3,431
adams_marchman_2018,13604,16,24,8,139
adams_marchman_2018,13604,16,24,8,139
adams_marchman_2018,13604,20,24,4,139
adams_marchman_2018,13604,20,24,4,139
adams_marchman_2018,13628,16,24,8,139
adams_marchman_2018,13628,16,24,8,139
adams_marchman_2018,13628,20,24,4,139
adams_marchman_2018,13628,20,24,4,139
adams_marchman_2018,13648,15,21,6,385
adams_marchman_2018,13648,15,21,6,385
adams_marchman_2018,13648,17,21,4,385
adams_marchman_2018,13648,18,21,3,385
adams_marchman_2018,911343,16,21,5,74
adams_marchman_2018,911343,17,21,4,74
adams_marchman_2018,911343,18,21,3,74
adams_marchman_2018,911343,19,21,2,74
adams_marchman_2018,911401,16,21,5,98
adams_marchman_2018,911401,16,21,5,98
adams_marchman_2018,911401,18,21,3,98
adams_marchman_2018,911401,19,21,2,98
adams_marchman_2018,911429,16,21,5,191
adams_marchman_2018,911429,16,21,5,191
adams_marchman_2018,911429,18,21,3,191
adams_marchman_2018,911429,19,21,2,191
