source,sample_label,language,measure_type,method,subject_id,n_recordings,log_r,tokens_per_hour,citation_path
Sperry et al. 2019,South Baltimore,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_1,1,6.7214,830,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_2,1,6.9976,1094,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_3,1,7.3185,1508,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_4,1,6.5876,726,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_5,1,6.7452,850,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_6,1,6.8824,975,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_7,1,7.3951,1628,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_8,1,7.5175,1840,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,South Baltimore,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_South Baltimore_9,1,7.7719,2373,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_10,1,7.411,1654,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_11,1,8.3168,4092,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_12,1,8.4268,4568,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_13,1,7.7998,2440,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_14,1,7.9936,2962,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_15,1,8.2003,3642,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_16,1,8.1185,3356,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_17,1,8.1758,3554,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_18,1,8.2491,3824,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_19,1,7.6109,2020,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_20,1,7.6667,2136,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_21,1,7.8702,2618,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_22,1,7.7415,2302,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_23,1,7.9697,2892,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_24,1,8.1374,3420,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_25,1,7.4844,1780,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_26,1,7.7749,2380,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_27,1,7.8973,2690,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_28,1,6.5596,706,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_29,1,7.2471,1404,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_30,1,7.5838,1966,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_31,1,6.9754,1070,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_32,1,8.145,3446,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_33,1,8.6001,5432,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_34,1,6.9256,1018,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_35,1,6.9393,1032,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_36,1,6.9489,1042,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_37,1,8.0057,2998,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_38,1,8.1239,3374,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_39,1,8.297,4012,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Alabama_40,1,6.7708,872,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_41,1,7.2442,1400,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Alabama,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Alabama_42,1,7.6128,2024,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_43,1,7.2167,1362,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_44,1,7.5454,1892,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_45,1,8.3299,4146,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_46,1,6.9829,1078,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_47,1,7.1309,1250,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_48,1,7.4289,1684,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_49,1,7.3092,1494,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_50,1,7.4855,1782,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_51,1,8.2631,3878,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_52,1,5.9506,384,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_53,1,6.6227,752,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_54,1,7.7398,2298,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_55,1,7.3251,1518,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_56,1,7.3382,1538,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_57,1,7.3601,1572,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_58,1,6.2383,512,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_59,1,6.8522,946,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_60,1,7.3421,1544,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_61,1,6.1738,480,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_62,1,6.5309,686,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_63,1,7.0665,1172,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_64,1,7.6099,2018,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_65,1,7.6544,2110,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_66,1,7.8376,2534,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_67,1,7.9572,2856,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_68,1,8.0846,3244,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_69,1,8.439,4624,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_70,1,5.8916,362,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_71,1,6.672,790,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_72,1,7.5186,1842,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_73,1,6.6796,796,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_74,1,7.293,1470,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_75,1,7.8898,2670,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_76,1,6.3244,558,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_77,1,7.0783,1186,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_78,1,8.1594,3496,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_79,1,6.8957,988,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_80,1,7.0049,1102,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_81,1,7.2342,1386,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_82,1,6.7382,844,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_83,1,7.0103,1108,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_84,1,7.5486,1898,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Indiana_85,1,6.1485,468,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_86,1,6.9017,994,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Indiana,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Indiana_87,1,7.8686,2614,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Daly Park_88,1,7.6525,2106,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_89,1,7.6554,2112,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_90,1,7.698,2204,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Daly Park_91,1,7.6998,2208,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_92,1,7.7007,2210,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_93,1,7.7293,2274,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Daly Park_94,1,6.1696,478,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_95,1,6.3665,582,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_96,1,7.3963,1630,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Daly Park_97,1,6.9903,1086,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_98,1,6.9903,1086,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_99,1,7.3172,1506,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Daly Park_100,1,5.8861,360,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_101,1,6.4739,648,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_102,1,6.8855,978,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Daly Park_103,1,7.0648,1170,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_104,1,7.1309,1250,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_105,1,7.4254,1678,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Daly Park_106,1,7.6236,2046,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_107,1,7.6971,2202,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Daly Park,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Daly Park_108,1,7.8208,2492,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-mother,manual transcript (visit recording),Sperry et al. 2019_Longwood_109,1,7.4742,1762,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),CDS-any-adult,manual transcript (visit recording),Sperry et al. 2019_Longwood_110,1,7.698,2204,papers/input_estimation/sperry_etal_2019.pdf
Sperry et al. 2019,Longwood,English (US),all-adult,manual transcript (visit recording),Sperry et al. 2019_Longwood_111,1,8.2316,3758,papers/input_estimation/sperry_etal_2019.pdf
