source,sample_label,language,measure_type,method,subject_id,n_recordings,log_r,tokens_per_hour,citation_path
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_217,1,7.1049,1217.9196,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_218,1,7.272,1439.4442,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_219,1,4.3222,75.3509,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_220,1,6.3314,561.9298,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_221,1,5.6977,298.1928,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_222,1,6.6033,737.5301,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_223,1,5.6931,296.8198,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_224,1,6.437,624.5199,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_225,1,7.0248,1124.1572,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_226,1,7.9625,2871.3088,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_227,1,5.9737,392.9706,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_228,1,6.7848,884.3119,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_229,1,6.9344,1026.9551,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_230,1,7.0183,1116.8522,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_231,1,4.6928,109.1631,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_232,1,6.5593,705.789,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_233,1,4.8677,130.026,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_234,1,6.3813,590.6778,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_235,1,6.935,1027.6154,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_236,1,7.3682,1584.7981,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",CDS-mother,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_237,1,6.1034,447.3902,papers/input_estimation/weisleder_fernald_2013.pdf
Weisleder & Fernald 2013,low-SES Spanish-speaking,"Spanish (US, low-SES)",all-adult,manual transcript (visit recording),Weisleder & Fernald 2013_low-SES Spanish-speaking_238,1,6.9726,1066.9428,papers/input_estimation/weisleder_fernald_2013.pdf
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00220001,251,7.7132,2237.6067,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00230001,33,7.159,1285.6441,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00270002,158,6.9886,1084.2478,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00300001,147,6.0278,414.806,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320001,707,7.2183,1364.1362,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320002,263,6.7189,827.917,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00320003,540,7.3559,1565.4023,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00360001,268,6.8569,950.4435,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00370001,179,7.5052,1817.4535,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00380001,493,7.4178,1665.2981,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400001,635,7.826,2504.9059,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400002,317,6.2789,533.1919,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00400003,152,7.7285,2272.2093,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00420001,279,7.0092,1106.7675,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00430001,177,7.0938,1204.5156,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00490001,59,7.2524,1411.4262,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510001,147,7.484,1779.3536,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00510002,490,7.7244,2262.7855,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00720001,111,7.0694,1175.4659,data/raw_data/babyview/README.md
this paper (BabyView; Long et al. 2025),20 longitudinal English-dominant Stanford subjects,"English (US, CA)",all-adult,"FEM+MAL transcript (Whisper, score>=0.3)",S00820001,282,7.1802,1313.2142,data/raw_data/babyview/README.md
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),01,12,6.9952,1091.3365,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),02,12,7.0029,1099.7722,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),03,12,6.7937,892.1938,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),04,12,7.4406,1703.8432,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),06,12,6.6819,797.8602,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),07,11,7.4868,1784.3655,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),08,12,7.5274,1858.1748,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),09,12,6.6249,753.6226,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),10,12,7.1551,1280.6312,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),11,12,7.537,1876.2086,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),12,12,7.5152,1835.6887,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),13,12,6.9301,1022.5792,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),14,12,6.8905,982.9255,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),15,12,6.8073,904.4331,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),16,12,6.9383,1031.0246,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),17,12,6.9468,1039.791,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),18,12,7.4942,1797.676,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),19,11,7.6508,2102.365,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),20,12,7.0604,1164.9305,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),21,12,7.0941,1204.8676,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),22,11,6.7479,852.2749,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),23,12,6.8055,902.7915,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),25,12,6.3874,594.2896,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),26,12,6.6637,783.4247,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),27,12,7.2717,1438.9467,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),28,12,6.702,814.0051,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),29,12,7.2247,1372.961,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),30,12,7.1624,1289.9925,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),31,12,7.0146,1112.7244,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),32,12,6.8207,916.6417,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),33,12,7.5154,1836.1477,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),34,12,6.155,471.0786,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),35,12,7.1514,1275.8484,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),36,12,7.1466,1269.8025,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),37,12,6.589,727.0656,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),38,12,7.5317,1866.3221,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),39,12,6.9929,1088.8837,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),40,12,6.7667,868.4124,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),41,12,7.0587,1162.913,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),42,12,7.0392,1140.4178,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),43,12,7.2126,1356.3692,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),44,12,6.355,575.3575,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),45,12,6.3388,566.1449,papers/input_estimation/bergelson_etal_2018.pdf
this paper (SEEDLingS; Bergelson 2018; Egan-Dailey & Bergelson 2025),44 longitudinal Rochester subjects,"English (US, Rochester NY)",all-adult,LENA AWC (automated),46,12,6.9298,1022.3151,papers/input_estimation/bergelson_etal_2018.pdf
