"jj","psi_mean","psi_median","psi_sd","psi_q025","psi_q975","item","prob","cc","log_p","lexical_class"
1,14.5275,14.5253,0.0978,14.3391,14.7194,"a",0.0229,1,-3.7766,"function_words"
2,15.1916,15.1928,0.1077,14.9817,15.3993,"a lot",0,1,-15.2755,"function_words"
3,16.2356,16.2296,0.1481,15.9418,16.5356,"about",0.0028,1,-5.8936,"function_words"
4,15.8512,15.8475,0.1375,15.5782,16.1215,"above",0,1,-10.2716,"function_words"
5,13.4386,13.4379,0.0761,13.2941,13.5828,"airplane",1e-04,2,-8.8482,"nouns"
6,16.2295,16.2261,0.1552,15.9172,16.5453,"an",0.0011,1,-6.8274,"function_words"
7,14.7937,14.7946,0.1029,14.5978,14.9973,"and",0.0163,1,-4.114,"function_words"
8,14.0368,14.0346,0.0821,13.8771,14.1973,"animal",2e-04,2,-8.6581,"nouns"
9,15.1328,15.1299,0.1016,14.9289,15.3359,"another",9e-04,1,-6.9765,"function_words"
10,15.3047,15.301,0.1206,15.0639,15.5456,"around",8e-04,1,-7.1233,"function_words"
11,14.3604,14.3597,0.0977,14.1748,14.5509,"awake",0,4,-10.7376,"predicates"
12,15.861,15.8597,0.1267,15.6213,16.113,"babysitter",0,3,-11.9797,"other"
13,14.1806,14.1774,0.0819,14.0251,14.3454,"babysitter's name",0,3,-15.9687,"other"
14,14.9287,14.9314,0.0922,14.7512,15.1118,"backyard",0,2,-10.8998,"nouns"
15,11.468,11.4672,0.0983,11.2826,11.6558,"ball",7e-04,2,-7.253,"nouns"
16,12.8233,12.8232,0.0763,12.6771,12.9704,"bath",1e-04,3,-8.8211,"other"
17,15.5848,15.5861,0.1253,15.3431,15.833,"be",0.0032,1,-5.7327,"function_words"
18,15.7953,15.7943,0.1266,15.5522,16.0457,"before",5e-04,3,-7.6659,"other"
19,15.1272,15.1279,0.1142,14.906,15.3549,"behind",2e-04,1,-8.4474,"function_words"
20,15.9036,15.9004,0.1348,15.6472,16.1718,"beside",0,1,-10.8447,"function_words"
21,13.6714,13.6735,0.0775,13.5095,13.8197,"bicycle",0,2,-10.0077,"nouns"
22,12.7171,12.7173,0.0807,12.562,12.8711,"bird",3e-04,2,-8.0472,"nouns"
23,14.1075,14.1053,0.0934,13.9308,14.2944,"black",2e-04,4,-8.4583,"predicates"
24,13.7401,13.7385,0.0806,13.5831,13.8938,"block",1e-04,2,-9.0619,"nouns"
25,14.2687,14.265,0.0879,14.1059,14.4434,"blow",2e-04,4,-8.8047,"predicates"
26,13.7978,13.7989,0.0793,13.6409,13.948,"blue",5e-04,4,-7.5707,"predicates"
27,13.253,13.252,0.0771,13.1018,13.404,"bottle",3e-04,2,-8.2211,"nouns"
28,14.0808,14.0812,0.0812,13.9191,14.2429,"boy",0.001,3,-6.9308,"other"
29,14.6948,14.6943,0.0953,14.5137,14.8833,"build",2e-04,4,-8.5559,"predicates"
30,13.673,13.6734,0.0826,13.5108,13.8324,"bunny",3e-04,2,-8.1327,"nouns"
31,13.9378,13.9363,0.0793,13.7847,14.0944,"butterfly",1e-04,2,-9.049,"nouns"
32,15.1699,15.1674,0.1075,14.964,15.3885,"by",6e-04,1,-7.4543,"function_words"
33,11.4241,11.4226,0.1022,11.2203,11.6149,"bye",3e-04,3,-8.0955,"other"
34,14.7428,14.7438,0.0994,14.5504,14.9419,"can (auxiliary)",0.0074,1,-4.9019,"function_words"
35,14.6866,14.6874,0.0879,14.5179,14.8562,"careful",3e-04,4,-8.0544,"predicates"
36,14.2931,14.291,0.0956,14.099,14.4945,"carry",1e-04,4,-9.4034,"predicates"
37,13.5877,13.5872,0.0759,13.4417,13.7332,"chair",5e-04,2,-7.6682,"nouns"
38,15.9052,15.9025,0.1268,15.6718,16.1537,"child",2e-04,3,-8.8009,"other"
39,13.3287,13.3294,0.0787,13.1757,13.4801,"child's own name",0,3,-15.9687,"other"
40,12.921,12.92,0.0812,12.7673,13.0852,"choo choo",0,3,-15.9687,"other"
41,14.9327,14.9312,0.0965,14.7452,15.1267,"church*",0,2,-15.9687,"nouns"
42,15.7284,15.7237,0.1296,15.4849,15.988,"circus",1e-04,3,-9.8774,"other"
43,13.9258,13.9244,0.0819,13.7674,14.0863,"clock",1e-04,2,-8.9264,"nouns"
44,14.177,14.1766,0.0927,13.9894,14.3569,"cloud",0,2,-11.2959,"nouns"
45,14.9709,14.9708,0.1029,14.7725,15.1692,"clown",1e-04,3,-9.402,"other"
46,12.9559,12.9545,0.078,12.8031,13.1131,"cookie",4e-04,2,-7.9478,"nouns"
47,15.6477,15.6478,0.1303,15.3886,15.9042,"cowboy",0,3,-10.255,"other"
48,14.5821,14.58,0.0989,14.396,14.773,"cut",3e-04,4,-8.1955,"predicates"
49,14.6172,14.6173,0.0869,14.4489,14.7884,"dark",1e-04,4,-9.3094,"predicates"
50,15.2085,15.2085,0.1035,15.0047,15.4082,"day",6e-04,3,-7.4495,"other"
51,14.3793,14.3801,0.0918,14.1988,14.5672,"dinner",2e-04,3,-8.3698,"other"
52,14.1934,14.1943,0.0948,14.0027,14.3786,"do",0.0114,1,-4.4772,"function_words"
53,15.728,15.7283,0.1324,15.4779,15.9877,"does",0.0022,1,-6.1095,"function_words"
54,14.6157,14.6131,0.0971,14.426,14.8168,"donut",0,2,-11.5867,"nouns"
55,14.452,14.4532,0.0832,14.2917,14.6181,"draw",2e-04,4,-8.2997,"predicates"
56,14.9824,14.9788,0.0992,14.7948,15.1769,"drawer",0,2,-10.2257,"nouns"
57,13.7874,13.7861,0.0755,13.6338,13.9397,"drink (action)",4e-04,4,-7.7646,"predicates"
58,12.8783,12.8797,0.0771,12.7272,13.0236,"ear",1e-04,2,-9.2929,"nouns"
59,13.4362,13.4365,0.0753,13.2867,13.5841,"eat",0.0019,4,-6.28,"predicates"
60,15.8335,15.8312,0.133,15.5766,16.0958,"every",2e-04,1,-8.6846,"function_words"
61,14.9752,14.9756,0.1065,14.769,15.1837,"first",7e-04,4,-7.27,"predicates"
62,14.9631,14.9604,0.1039,14.7633,15.1715,"fit",2e-04,4,-8.3814,"predicates"
63,13.9241,13.9242,0.0789,13.7704,14.0784,"fork",1e-04,2,-9.6005,"nouns"
64,14.2743,14.2743,0.0831,14.1122,14.4425,"get",0.0044,4,-5.4329,"predicates"
65,14.525,14.5238,0.0835,14.359,14.6891,"give",0.0011,4,-6.8114,"predicates"
66,15.1289,15.1276,0.112,14.9088,15.3533,"glue",0,2,-10.3023,"nouns"
67,14.0783,14.0782,0.0915,13.8928,14.2605,"gonna get you!",0,3,-15.9687,"other"
68,12.7271,12.7279,0.0836,12.5646,12.8897,"grandma*",0,3,-15.9687,"other"
69,14.9751,14.9747,0.1042,14.7722,15.1774,"gum",0,2,-10.091,"nouns"
70,12.9516,12.9516,0.078,12.7963,13.1097,"hat",4e-04,2,-7.7714,"nouns"
71,13.6909,13.6908,0.0773,13.541,13.8425,"head",5e-04,2,-7.5931,"nouns"
72,15.5992,15.5977,0.112,15.3899,15.8259,"her",0.0024,1,-6.0157,"function_words"
73,12.8118,12.8134,0.0791,12.6572,12.9652,"hot",4e-04,4,-7.9311,"predicates"
74,13.9699,13.9696,0.0785,13.8201,14.1259,"house",9e-04,2,-7.0068,"nouns"
75,13.7615,13.76,0.0766,13.6155,13.9143,"hug",1e-04,4,-9.1059,"predicates"
76,14.2671,14.2678,0.0831,14.1058,14.435,"hungry",4e-04,4,-7.8304,"predicates"
77,15.1469,15.1455,0.0993,14.9603,15.3386,"hurry",1e-04,4,-9.432,"predicates"
78,16.2521,16.2521,0.1486,15.9714,16.5518,"if",0.0024,1,-6.0323,"function_words"
79,17.4385,17.3827,0.5394,16.506,18.5801,"inside",3e-04,1,-8.0374,"function_words"
80,13.9304,13.9308,0.0874,13.7569,14.0968,"inside/in",0,1,-15.9687,"function_words"
81,15.7995,15.795,0.1311,15.5544,16.0601,"into",6e-04,1,-7.3929,"function_words"
82,14.8564,14.8579,0.105,14.6503,15.0573,"is",0.0125,1,-4.3833,"function_words"
83,15.0735,15.0726,0.1107,14.865,15.2954,"jello",0,2,-11.0058,"nouns"
84,13.904,13.9055,0.08,13.7502,14.061,"jump",2e-04,4,-8.4973,"predicates"
85,15.1264,15.1251,0.1023,14.934,15.3327,"lady",2e-04,3,-8.5959,"other"
86,15.6867,15.6827,0.1296,15.4472,15.9516,"last",5e-04,4,-7.6393,"predicates"
87,15.0609,15.0613,0.095,14.8768,15.246,"later",3e-04,3,-8.2702,"other"
88,14.6239,14.6236,0.0964,14.4382,14.819,"lawn mower",0,2,-15.9687,"nouns"
89,14.5752,14.576,0.0965,14.3811,14.7654,"lemme/let me",0,1,-15.9687,"function_words"
90,14.5111,14.5122,0.0859,14.3453,14.6762,"little (description)",0.0035,4,-5.649,"predicates"
91,15.0211,15.0202,0.1066,14.8181,15.2351,"mad",1e-04,4,-9.2941,"predicates"
92,15.1823,15.1798,0.1118,14.9647,15.4034,"mailman",0,3,-11.1324,"other"
93,14.6278,14.6288,0.0975,14.4379,14.8214,"make",0.0019,4,-6.2906,"predicates"
94,14.6369,14.6359,0.0884,14.4675,14.8111,"man",4e-04,3,-7.8128,"other"
95,14.5093,14.5081,0.0918,14.3354,14.6952,"mittens",0,2,-10.4756,"nouns"
96,10.8756,10.8747,0.1181,10.6477,11.1042,"mommy*",0,3,-15.9687,"other"
97,13.0772,13.0744,0.0781,12.9291,13.2346,"more",0.0025,1,-5.997,"function_words"
98,14.0571,14.058,0.078,13.8996,14.2089,"mouse",2e-04,2,-8.7237,"nouns"
99,14.4589,14.4581,0.1002,14.2606,14.6607,"movie",1e-04,3,-8.9458,"other"
100,14.0035,14.0025,0.0837,13.8367,14.1738,"nap",1e-04,3,-9.0914,"other"
101,14.7748,14.7738,0.1041,14.5747,14.9743,"need/need to",0,1,-15.9687,"function_words"
102,14.8658,14.8643,0.1015,14.6689,15.0676,"new",5e-04,4,-7.6497,"predicates"
103,12.7766,12.7764,0.0782,12.6251,12.9264,"night night",0,3,-15.9687,"other"
104,11.9669,11.9711,0.088,11.7868,12.137,"no",0.0071,3,-4.9421,"other"
105,15.6218,15.6186,0.1125,15.4095,15.845,"none",0,1,-10.0661,"function_words"
106,12.6678,12.6687,0.0768,12.5195,12.8163,"nose",4e-04,2,-7.8377,"nouns"
107,14.9359,14.9375,0.0927,14.7539,15.1185,"not",0.0042,1,-5.4832,"function_words"
108,14.6361,14.6349,0.0891,14.4633,14.8147,"now",0.0035,3,-5.661,"other"
109,15.0665,15.0684,0.1107,14.8478,15.2762,"on top of",0,1,-15.9687,"function_words"
110,13.4147,13.415,0.0795,13.2622,13.5683,"owie/boo boo",0,2,-15.9687,"nouns"
111,14.1166,14.1152,0.0845,13.9466,14.2817,"pajamas",1e-04,2,-9.8288,"nouns"
112,13.8641,13.8631,0.0763,13.7187,14.0133,"park",1e-04,2,-9.1574,"nouns"
113,14.7257,14.7252,0.0917,14.5459,14.9101,"party",2e-04,2,-8.7103,"nouns"
114,14.6323,14.6305,0.0992,14.4354,14.8283,"playground",0,3,-12.503,"other"
115,13.0094,13.0114,0.0766,12.8537,13.1553,"please",7e-04,3,-7.2495,"other"
116,15.1571,15.1544,0.1177,14.9341,15.385,"police",1e-04,3,-9.8117,"other"
117,14.9921,14.9912,0.0979,14.7994,15.1865,"pony",0,2,-10.3592,"nouns"
118,14.8998,14.9001,0.1024,14.6979,15.0991,"pour",1e-04,4,-9.2106,"predicates"
119,13.578,13.5772,0.0731,13.4368,13.7231,"puppy",2e-04,2,-8.6839,"nouns"
120,14.5752,14.5728,0.0856,14.4105,14.7416,"purse",0,2,-10.2649,"nouns"
121,12.7786,12.7774,0.0829,12.6188,12.9453,"quack quack",0,3,-15.9687,"other"
122,14.5592,14.5568,0.0969,14.3718,14.7467,"quiet",1e-04,4,-9.1091,"predicates"
123,15.0378,15.0366,0.1019,14.8437,15.2409,"radio",0,2,-10.3375,"nouns"
124,13.9689,13.9679,0.0779,13.8235,14.1222,"rain",1e-04,2,-9.3081,"nouns"
125,14.352,14.3516,0.0925,14.1659,14.5292,"sad",1e-04,4,-9.14,"predicates"
126,14.8412,14.8376,0.0897,14.665,15.0229,"scared",1e-04,4,-9.0304,"predicates"
127,14.1862,14.187,0.0816,14.025,14.3479,"school",6e-04,2,-7.4235,"nouns"
128,14.6376,14.6348,0.09,14.4507,14.8123,"scissors",0,2,-10.1427,"nouns"
129,15.0945,15.0937,0.1097,14.8923,15.3164,"she",0.0042,1,-5.465,"function_words"
130,13.989,13.9881,0.0848,13.8157,14.1469,"sheep",2e-04,2,-8.741,"nouns"
131,14.4691,14.4688,0.0947,14.284,14.6622,"shopping",1e-04,3,-9.8751,"other"
132,13.442,13.4427,0.0862,13.2692,13.6087,"sit",0.001,4,-6.8715,"predicates"
133,13.9445,13.9445,0.0794,13.7915,14.0996,"slide (object)",1e-04,2,-9.0236,"nouns"
134,14.6183,14.6166,0.1031,14.4171,14.8177,"slipper",0,2,-11.0199,"nouns"
135,14.8787,14.878,0.1028,14.6793,15.0859,"slow",1e-04,4,-9.6336,"predicates"
136,15.9823,15.9816,0.1351,15.7209,16.2506,"so",0.0042,1,-5.484,"function_words"
137,14.2861,14.2863,0.0969,14.1032,14.4625,"so big!",0,3,-15.9687,"other"
138,14.8487,14.848,0.1044,14.6461,15.0565,"soda/pop",0,2,-15.9687,"nouns"
139,14.505,14.5038,0.0958,14.3213,14.6998,"stand",2e-04,4,-8.3431,"predicates"
140,14.3764,14.3779,0.0928,14.1943,14.555,"sticky",1e-04,4,-9.6679,"predicates"
141,13.93,13.9301,0.0773,13.7768,14.0786,"stop",5e-04,4,-7.6357,"predicates"
142,14.3479,14.3483,0.0863,14.1833,14.5093,"store",2e-04,2,-8.407,"nouns"
143,13.7332,13.7305,0.0899,13.5619,13.9196,"strawberry",1e-04,2,-9.552,"nouns"
144,14.0807,14.0788,0.0906,13.9093,14.2603,"stuck",2e-04,4,-8.6131,"predicates"
145,14.0601,14.059,0.0815,13.9039,14.2245,"swing (action)",1e-04,4,-9.5954,"predicates"
146,14.8555,14.8543,0.0939,14.6721,15.0314,"take",0.0017,4,-6.3757,"predicates"
147,14.7064,14.7041,0.0995,14.5228,14.8991,"tape",3e-04,2,-8.1101,"nouns"
148,14.8262,14.8276,0.1017,14.6286,15.0274,"taste",2e-04,4,-8.7374,"predicates"
149,13.7177,13.7205,0.0829,13.5552,13.8785,"telephone",1e-04,2,-9.1281,"nouns"
150,13.8578,13.859,0.0772,13.7097,14.0097,"that",0.0162,1,-4.1206,"function_words"
151,15.9442,15.9401,0.1351,15.6937,16.2195,"their",5e-04,1,-7.5187,"function_words"
152,14.4496,14.451,0.0889,14.27,14.6246,"there",0.0062,1,-5.091,"function_words"
153,14.9006,14.9025,0.1044,14.6998,15.1041,"these",0.0016,1,-6.4373,"function_words"
154,15.2798,15.2804,0.1105,15.065,15.5004,"think",0.0042,4,-5.4645,"predicates"
155,14.5996,14.6007,0.0883,14.4271,14.7793,"thirsty",1e-04,4,-9.6213,"predicates"
156,13.9889,13.9912,0.083,13.8314,14.1486,"this",0.0101,1,-4.5973,"function_words"
157,14.3395,14.3373,0.0847,14.1708,14.498,"throw",4e-04,4,-7.882,"predicates"
158,13.9684,13.9686,0.0803,13.8137,14.1233,"tickle",2e-04,4,-8.6846,"predicates"
159,15.4652,15.4609,0.118,15.2392,15.7008,"tights",0,2,-12.1845,"nouns"
160,14.6015,14.6008,0.0908,14.4253,14.7784,"tired",2e-04,4,-8.5559,"predicates"
161,14.7019,14.7031,0.1034,14.5004,14.9039,"to",0.0139,1,-4.2788,"function_words"
162,13.5175,13.52,0.0794,13.362,13.6758,"toe",1e-04,2,-9.8506,"nouns"
163,14.3773,14.3783,0.093,14.2009,14.562,"too",0.0022,1,-6.1363,"function_words"
164,13.8447,13.844,0.0889,13.6633,14.0184,"tractor",1e-04,2,-9.6461,"nouns"
165,13.5684,13.5683,0.0787,13.4083,13.7191,"train",3e-04,2,-8.1792,"nouns"
166,14.2938,14.2935,0.0804,14.1325,14.4461,"trash",1e-04,2,-9.7402,"nouns"
167,13.1272,13.1299,0.0783,12.9731,13.2826,"truck",4e-04,2,-7.8502,"nouns"
168,14.9428,14.9402,0.1044,14.7415,15.147,"try/try to",0,1,-15.9687,"function_words"
169,14.5048,14.5052,0.0988,14.3103,14.7031,"turn around",0,3,-15.9687,"other"
170,11.6071,11.6074,0.0951,11.421,11.791,"uh oh",0,3,-15.9687,"other"
171,14.7068,14.7039,0.0913,14.5182,14.8865,"uncle",1e-04,3,-9.5751,"other"
172,13.1821,13.1837,0.0761,13.0277,13.3294,"up",0.0043,1,-5.4515,"function_words"
173,15.9987,15.9945,0.1405,15.7321,16.2761,"us",5e-04,1,-7.5687,"function_words"
174,14.3963,14.3977,0.0862,14.2286,14.5693,"vacuum",0,2,-10.6804,"nouns"
175,12.6394,12.6371,0.0799,12.4867,12.8003,"vroom",1e-04,3,-9.8933,"other"
176,14.5476,14.5479,0.089,14.3758,14.7208,"wait",8e-04,3,-7.159,"other"
177,14.5905,14.5881,0.0974,14.3999,14.781,"wake",1e-04,4,-9.5214,"predicates"
178,14.4313,14.4334,0.0866,14.2679,14.5941,"wanna/want to",0,3,-15.9687,"other"
179,14.2401,14.2389,0.0848,14.0766,14.4133,"wash",2e-04,4,-8.4222,"predicates"
180,15.5234,15.5219,0.1259,15.2786,15.776,"we",0.0069,1,-4.9787,"function_words"
181,16.055,16.05,0.1455,15.7831,16.353,"were",0.0013,1,-6.6647,"function_words"
182,14.1329,14.1333,0.0797,13.9808,14.2929,"what",0.0165,1,-4.1014,"function_words"
183,16.025,16.0246,0.1317,15.7697,16.2819,"when",0.0021,1,-6.1709,"function_words"
184,16.1244,16.1235,0.143,15.8574,16.4083,"which",6e-04,1,-7.3394,"function_words"
185,14.3799,14.3807,0.0989,14.1854,14.5704,"white",3e-04,4,-8.2138,"predicates"
186,15.6338,15.6326,0.1261,15.3887,15.8808,"will",0.001,1,-6.9063,"function_words"
187,14.5998,14.5989,0.0987,14.4079,14.7975,"windy",0,4,-11.3147,"predicates"
188,14.7527,14.753,0.1015,14.5479,14.9549,"with",0.005,1,-5.3022,"function_words"
189,15.7762,15.7722,0.1343,15.5219,16.0473,"woods",0,3,-10.7925,"other"
190,14.4133,14.411,0.0879,14.2444,14.5937,"work (place)",4e-04,2,-7.7502,"nouns"
191,16.5092,16.5061,0.1638,16.2057,16.8374,"would",0.0017,1,-6.355,"function_words"
192,13.6848,13.6842,0.0908,13.509,13.8642,"yellow",4e-04,4,-7.8375,"predicates"
193,12.8031,12.8018,0.0793,12.6485,12.9574,"yes",0.0023,3,-6.0804,"other"
194,15.9816,15.981,0.1401,15.7006,16.2583,"yesterday",2e-04,3,-8.5019,"other"
195,14.2231,14.2244,0.0829,14.0537,14.3814,"you",0.0438,1,-3.1285,"function_words"
196,15.2751,15.2735,0.1012,15.08,15.4806,"your",0.0075,1,-4.8901,"function_words"
197,12.5969,12.5992,0.0823,12.4324,12.7508,"yum yum",0,3,-15.9687,"other"
198,14.4564,14.4549,0.0872,14.2845,14.6272,"zoo",2e-04,2,-8.606,"nouns"
